dataset,region,noise,seed,init_mae,init_in,init_out,region_share_R,prec_knn,arm,mae,err_in,err_out,n_in_region,error
diamonds,sparse_init,clean,7001,0.20384959071968944,0.1909187926504735,0.2053223549665035,0.128,0.10222222222222223,all_data,0.19698878069662037,0.18508502925120043,0.19834456859446967,,
diamonds,sparse_init,clean,7001,0.20384959071968944,0.1909187926504735,0.2053223549665035,0.128,0.10222222222222223,random,0.202939006812021,0.18814140638591378,0.20462439210143288,,
diamonds,sparse_init,clean,7001,0.20384959071968944,0.1909187926504735,0.2053223549665035,0.128,0.10222222222222223,uniform,0.19997371326662397,0.18559820154304585,0.20161102440417436,22.0,
diamonds,sparse_init,clean,7001,0.20384959071968944,0.1909187926504735,0.2053223549665035,0.128,0.10222222222222223,rho,0.2015591984254869,0.18827999451949645,0.2030716446514825,27.0,
diamonds,sparse_init,clean,7001,0.20384959071968944,0.1909187926504735,0.2053223549665035,0.128,0.10222222222222223,ws_default,0.19863427717735754,0.185837828319149,0.20009173960648793,24.0,
diamonds,sparse_init,clean,7001,0.20384959071968944,0.1909187926504735,0.2053223549665035,0.128,0.10222222222222223,ws_tuned,0.20322566657231306,0.18709399919577746,0.2050629965519853,25.0,
diamonds,sparse_init,clean,7001,0.20384959071968944,0.1909187926504735,0.2053223549665035,0.128,0.10222222222222223,kcenter_a1,0.1990458813464034,0.18593093344597755,0.2005396194949064,31.0,
diamonds,sparse_init,clean,7001,0.20384959071968944,0.1909187926504735,0.2053223549665035,0.128,0.10222222222222223,rho_a1,0.20783637666314528,0.21511288299681164,0.2070076127838722,36.0,
diamonds,sparse_init,clean,7001,0.20384959071968944,0.1909187926504735,0.2053223549665035,0.128,0.10222222222222223,rho_landscape_a1,0.20839559736398833,0.20768905081318856,0.20847607008447763,33.0,
diamonds,sparse_init,clean,7001,0.20384959071968944,0.1909187926504735,0.2053223549665035,0.128,0.10222222222222223,rho_filter_a1,0.2055166481074268,0.20768471859807455,0.20526971387443466,18.0,
diamonds,sparse_init,clean,7002,0.20724246715004097,0.20261769151827702,0.20773642492366048,0.12733333333333333,0.10666666666666667,all_data,0.19673197305853124,0.19285350511128704,0.19714622005012955,,
diamonds,sparse_init,clean,7002,0.20724246715004097,0.20261769151827702,0.20773642492366048,0.12733333333333333,0.10666666666666667,random,0.19990077354071917,0.19845031804759122,0.20005569214070457,,
diamonds,sparse_init,clean,7002,0.20724246715004097,0.20261769151827702,0.20773642492366048,0.12733333333333333,0.10666666666666667,uniform,0.197998599654507,0.20108409029909896,0.19766904808040278,9.0,
diamonds,sparse_init,clean,7002,0.20724246715004097,0.20261769151827702,0.20773642492366048,0.12733333333333333,0.10666666666666667,rho,0.20173367319289645,0.20360269795157362,0.20153404852304327,26.0,
diamonds,sparse_init,clean,7002,0.20724246715004097,0.20261769151827702,0.20773642492366048,0.12733333333333333,0.10666666666666667,ws_default,0.20033573961042597,0.20251213149804453,0.20010328602198635,24.0,
diamonds,sparse_init,clean,7002,0.20724246715004097,0.20261769151827702,0.20773642492366048,0.12733333333333333,0.10666666666666667,ws_tuned,0.1998483165508339,0.19670389105784683,0.20018416277116954,23.0,
diamonds,sparse_init,clean,7002,0.20724246715004097,0.20261769151827702,0.20773642492366048,0.12733333333333333,0.10666666666666667,kcenter_a1,0.19637941118770338,0.19817558990412767,0.1961875669750471,4.0,
diamonds,sparse_init,clean,7002,0.20724246715004097,0.20261769151827702,0.20773642492366048,0.12733333333333333,0.10666666666666667,rho_a1,0.20250588606569184,0.20442841119728553,0.2023005471888808,9.0,
diamonds,sparse_init,clean,7002,0.20724246715004097,0.20261769151827702,0.20773642492366048,0.12733333333333333,0.10666666666666667,rho_landscape_a1,0.2038236067590541,0.20270910784083243,0.2039426428914375,12.0,
diamonds,sparse_init,clean,7002,0.20724246715004097,0.20261769151827702,0.20773642492366048,0.12733333333333333,0.10666666666666667,rho_filter_a1,0.20237286954302808,0.20189606775549035,0.20242379524584755,22.0,
diamonds,sparse_init,clean,7003,0.2015641391659242,0.1939206354064294,0.20241813819630686,0.114,0.08444444444444445,all_data,0.19552898710158267,0.19625343765490347,0.19544804515538064,,
diamonds,sparse_init,clean,7003,0.2015641391659242,0.1939206354064294,0.20241813819630686,0.114,0.08444444444444445,random,0.2027821411175319,0.1953405285087521,0.20361358310439387,,
diamonds,sparse_init,clean,7003,0.2015641391659242,0.1939206354064294,0.20241813819630686,0.114,0.08444444444444445,uniform,0.19919752342089692,0.19341911819176433,0.19984313734588618,9.0,
diamonds,sparse_init,clean,7003,0.2015641391659242,0.1939206354064294,0.20241813819630686,0.114,0.08444444444444445,rho,0.1998026334643712,0.19876857747357196,0.1999181672354388,16.0,
diamonds,sparse_init,clean,7003,0.2015641391659242,0.1939206354064294,0.20241813819630686,0.114,0.08444444444444445,ws_default,0.20114420466741903,0.1901748352436905,0.20236979847184894,20.0,
diamonds,sparse_init,clean,7003,0.2015641391659242,0.1939206354064294,0.20241813819630686,0.114,0.08444444444444445,ws_tuned,0.1990998601976467,0.19360749058233323,0.1997135157244271,20.0,
diamonds,sparse_init,clean,7003,0.2015641391659242,0.1939206354064294,0.20241813819630686,0.114,0.08444444444444445,kcenter_a1,0.19874469164452319,0.19171680041043593,0.19952990906422943,7.0,
diamonds,sparse_init,clean,7003,0.2015641391659242,0.1939206354064294,0.20241813819630686,0.114,0.08444444444444445,rho_a1,0.2002589577651266,0.2217566680015439,0.19785704572648294,30.0,
diamonds,sparse_init,clean,7003,0.2015641391659242,0.1939206354064294,0.20241813819630686,0.114,0.08444444444444445,rho_landscape_a1,0.20027849025258335,0.20678068955357903,0.19955200772923698,27.0,
diamonds,sparse_init,clean,7003,0.2015641391659242,0.1939206354064294,0.20241813819630686,0.114,0.08444444444444445,rho_filter_a1,0.20085425764118095,0.19088016526379614,0.20196865039707554,17.0,
diamonds,sparse_init,clean,7004,0.2189856264289845,0.19427267359096267,0.22164028470726593,0.13266666666666665,0.14222222222222222,all_data,0.19714773332404997,0.19402773776148696,0.1974828823490429,,
diamonds,sparse_init,clean,7004,0.2189856264289845,0.19427267359096267,0.22164028470726593,0.13266666666666665,0.14222222222222222,random,0.20393278871529383,0.20014594118615875,0.2043395707865298,,
diamonds,sparse_init,clean,7004,0.2189856264289845,0.19427267359096267,0.22164028470726593,0.13266666666666665,0.14222222222222222,uniform,0.20202166146916256,0.1911018030445654,0.20319466951698748,19.0,
diamonds,sparse_init,clean,7004,0.2189856264289845,0.19427267359096267,0.22164028470726593,0.13266666666666665,0.14222222222222222,rho,0.20105398101701605,0.20101545823470812,0.20105811912319968,15.0,
diamonds,sparse_init,clean,7004,0.2189856264289845,0.19427267359096267,0.22164028470726593,0.13266666666666665,0.14222222222222222,ws_default,0.20686807396592133,0.19728346191628765,0.20789765023260404,35.0,
diamonds,sparse_init,clean,7004,0.2189856264289845,0.19427267359096267,0.22164028470726593,0.13266666666666665,0.14222222222222222,ws_tuned,0.20769070146650517,0.20080943474668903,0.20842988515623073,23.0,
diamonds,sparse_init,clean,7004,0.2189856264289845,0.19427267359096267,0.22164028470726593,0.13266666666666665,0.14222222222222222,kcenter_a1,0.20347825501027864,0.1937073514210672,0.20452784266050397,19.0,
diamonds,sparse_init,clean,7004,0.2189856264289845,0.19427267359096267,0.22164028470726593,0.13266666666666665,0.14222222222222222,rho_a1,0.20863832302301108,0.21447717973042543,0.20801111471667755,11.0,
diamonds,sparse_init,clean,7004,0.2189856264289845,0.19427267359096267,0.22164028470726593,0.13266666666666665,0.14222222222222222,rho_landscape_a1,0.2079673732338552,0.2087881679253934,0.20787920370442087,15.0,
diamonds,sparse_init,clean,7004,0.2189856264289845,0.19427267359096267,0.22164028470726593,0.13266666666666665,0.14222222222222222,rho_filter_a1,0.21063678536248914,0.2086410281307517,0.2108511690296857,30.0,
diamonds,sparse_init,clean,7005,0.21102589749930034,0.22266249296356305,0.2096788439099924,0.128,0.12,all_data,0.20902207439948012,0.2139280742685861,0.20845415530724054,,
diamonds,sparse_init,clean,7005,0.21102589749930034,0.22266249296356305,0.2096788439099924,0.128,0.12,random,0.21044323955377084,0.2182250092260299,0.20954242102825135,,
diamonds,sparse_init,clean,7005,0.21102589749930034,0.22266249296356305,0.2096788439099924,0.128,0.12,uniform,0.20938482363789013,0.22301940835366788,0.2078064825898991,17.0,
diamonds,sparse_init,clean,7005,0.21102589749930034,0.22266249296356305,0.2096788439099924,0.128,0.12,rho,0.2067907547598003,0.21923258952405136,0.2053504865792803,21.0,
diamonds,sparse_init,clean,7005,0.21102589749930034,0.22266249296356305,0.2096788439099924,0.128,0.12,ws_default,0.20573991548871193,0.22073928055486225,0.20400358731508506,23.0,
diamonds,sparse_init,clean,7005,0.21102589749930034,0.22266249296356305,0.2096788439099924,0.128,0.12,ws_tuned,0.20659112511298783,0.21077845787238295,0.20610639900555439,35.0,
diamonds,sparse_init,clean,7005,0.21102589749930034,0.22266249296356305,0.2096788439099924,0.128,0.12,kcenter_a1,0.2088628175074527,0.22330142328573307,0.2071914028915569,10.0,
diamonds,sparse_init,clean,7005,0.21102589749930034,0.22266249296356305,0.2096788439099924,0.128,0.12,rho_a1,0.2147224103279513,0.24622670808820443,0.21107546930410054,33.0,
diamonds,sparse_init,clean,7005,0.21102589749930034,0.22266249296356305,0.2096788439099924,0.128,0.12,rho_landscape_a1,0.21787725727840712,0.25348369299103035,0.21375545230748977,36.0,
diamonds,sparse_init,clean,7005,0.21102589749930034,0.22266249296356305,0.2096788439099924,0.128,0.12,rho_filter_a1,0.21344305006568623,0.22994380338687231,0.2115329210201375,26.0,
diamonds,sparse_init,clean,7006,0.2143247822637539,0.21478678526501438,0.2142748705821773,0.12866666666666668,0.12,all_data,0.20330537210599955,0.20369897606010057,0.2032628497951687,,
diamonds,sparse_init,clean,7006,0.2143247822637539,0.21478678526501438,0.2142748705821773,0.12866666666666668,0.12,random,0.20938104299513646,0.2130364986795345,0.20898613227022925,,
diamonds,sparse_init,clean,7006,0.2143247822637539,0.21478678526501438,0.2142748705821773,0.12866666666666668,0.12,uniform,0.20598029103795085,0.21248378473957988,0.2052776975355588,10.0,
diamonds,sparse_init,clean,7006,0.2143247822637539,0.21478678526501438,0.2142748705821773,0.12866666666666668,0.12,rho,0.20628010247879316,0.2121448671058978,0.2056465129484411,29.0,
diamonds,sparse_init,clean,7006,0.2143247822637539,0.21478678526501438,0.2142748705821773,0.12866666666666668,0.12,ws_default,0.20697029679696938,0.21083721371766928,0.20655254122935915,31.0,
diamonds,sparse_init,clean,7006,0.2143247822637539,0.21478678526501438,0.2142748705821773,0.12866666666666668,0.12,ws_tuned,0.20681591466500818,0.219950284923433,0.20539696607753297,27.0,
diamonds,sparse_init,clean,7006,0.2143247822637539,0.21478678526501438,0.2142748705821773,0.12866666666666668,0.12,kcenter_a1,0.20591999643208397,0.22744587257271998,0.2035944862673061,4.0,
diamonds,sparse_init,clean,7006,0.2143247822637539,0.21478678526501438,0.2142748705821773,0.12866666666666668,0.12,rho_a1,0.21258700809526426,0.25093789255963067,0.2084438377514684,50.0,
diamonds,sparse_init,clean,7006,0.2143247822637539,0.21478678526501438,0.2142748705821773,0.12866666666666668,0.12,rho_landscape_a1,0.21020484327199487,0.2374001718836188,0.20726684378209642,42.0,
diamonds,sparse_init,clean,7006,0.2143247822637539,0.21478678526501438,0.2142748705821773,0.12866666666666668,0.12,rho_filter_a1,0.20807015846379626,0.21264673043497445,0.20757573656109277,20.0,
diamonds,sparse_init,clean,7007,0.20547204667576255,0.19672568730175044,0.20644656462768776,0.118,0.10666666666666667,all_data,0.19965920573723128,0.18700709583761355,0.20106890178328482,,
diamonds,sparse_init,clean,7007,0.20547204667576255,0.19672568730175044,0.20644656462768776,0.118,0.10666666666666667,random,0.20563226609727542,0.19801350840802623,0.20648114685120394,,
diamonds,sparse_init,clean,7007,0.20547204667576255,0.19672568730175044,0.20644656462768776,0.118,0.10666666666666667,uniform,0.20147976930368702,0.18753049601501193,0.20303399508550382,9.0,
