task,region,noise,seed,init_mae,init_in,init_out,p_gate,cx,cy,detect_dist,arm,hp,mae,err_in,err_out,ess
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,loss,loss|alpha=1.0,0.1319255252591597,0.3008464495834052,0.10646103609175332,0.4111770897805505
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,jtt,"jtt|q=0.1,lam=2",0.11712732188106943,0.3102568006546547,0.08801344188182933,0.9307692307692305
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,jtt,"jtt|q=0.1,lam=5",0.11961194448886388,0.30148648491300345,0.09219472378050685,0.5764705882352942
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,jtt,"jtt|q=0.1,lam=10",0.13903105505659244,0.3083781746037291,0.11350231781761098,0.3311926605504588
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,jtt,"jtt|q=0.1,lam=20",0.15040034088701623,0.3233501440418476,0.12432850634929139,0.20562347188264063
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,jtt,"jtt|q=0.2,lam=2",0.11524986035758988,0.3071530759626671,0.08632083706154259,0.9000000000000001
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,jtt,"jtt|q=0.2,lam=5",0.11832739081187096,0.2956153441014207,0.091601588877543,0.5586206896551722
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,jtt,"jtt|q=0.2,lam=10",0.13359083639241204,0.30055663351742645,0.10842107871303704,0.37692307692307686
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,jtt,"jtt|q=0.2,lam=20",0.14824311158958503,0.3026818186456878,0.12496178751093204,0.2851485148514852
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,density,density|alpha=0.2,0.11333049504013473,0.3214521777078106,0.08195657049529523,0.9977380636364946
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,density,density|alpha=0.5,0.11258678027160159,0.3187677494621732,0.0815054143752093,0.9860288079516052
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,density,density|alpha=0.8,0.11327911565813412,0.3164036978792802,0.08265849394240324,0.9649966484883478
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,density,density|alpha=1.0,0.11406082103617257,0.31583723204581704,0.08364343341561627,0.9463633361988254
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,smoothed_loss,smoothed_loss|alpha=0.2,0.11573445974980265,0.3145181515002413,0.08576821853080671,0.9710298987843584
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,smoothed_loss,smoothed_loss|alpha=0.5,0.12088938670162798,0.30996186795236536,0.09238709090893917,0.8428398335327614
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,smoothed_loss,smoothed_loss|alpha=0.8,0.11955960644349485,0.30062009137274925,0.09226510296163946,0.6768874358582261
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,smoothed_loss,smoothed_loss|alpha=1.0,0.12104047708365795,0.2971118268396588,0.09449807568200536,0.5727835563403312
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,random_centre,"random_centre|alpha=0.2,sigma=0.05",0.11565103198870161,0.32820019242128967,0.08360967408689605,0.42789524839828896
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,random_centre,"random_centre|alpha=0.2,sigma=0.1",0.11368303704818879,0.32770529279219807,0.08141961299471902,0.7583013951098581
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,random_centre,"random_centre|alpha=0.2,sigma=0.2",0.11374428308302957,0.3219612273290916,0.08235599804708697,0.9282622533522673
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,random_centre,"random_centre|alpha=0.5,sigma=0.05",0.12339549165982251,0.3398340931256324,0.09076780835485002,0.10713786030595931
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,random_centre,"random_centre|alpha=0.5,sigma=0.1",0.11752913196251416,0.3358226667173695,0.08462182119969938,0.33499553668684845
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,random_centre,"random_centre|alpha=0.5,sigma=0.2",0.11535570116186089,0.3248322778631967,0.08377752906994493,0.6782181682837306
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,random_centre,"random_centre|alpha=0.8,sigma=0.05",0.1306108525926614,0.35230349290982077,0.09719113351147854,0.044795443481723894
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,random_centre,"random_centre|alpha=0.8,sigma=0.1",0.12411668943625667,0.3451707313939619,0.09079323777174646,0.16460898462865553
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,random_centre,"random_centre|alpha=0.8,sigma=0.2",0.11615873598386257,0.3239207539205416,0.08483903017292475,0.45568331691318137
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,random_centre,"random_centre|alpha=1.0,sigma=0.05",1.1604657805072511,0.8602829001830525,1.205717745205145,0.02914253764268752
synthetic,hard,gauss,4000,0.1696651234517293,0.3905266205068698,0.13637069754353204,0.03,0.25639090731075626,0.7128238621237724,0.03772146502519441,random_centre,"random_centre|alpha=1.0,sigma=0.1",0.47555159604124536,0.5868999588311457,0.4587660545850003,0.11202692750809722
