task,region,noise,seed,p_check,ratio
synthetic,hard,hetero,4001,0.085,3.221788117592779
synthetic,hard,hetero,4002,0.04,3.672158887830795
synthetic,hard,hetero,4003,0.06,2.32203983037073
synthetic,hard,hetero,4004,0.005,4.328463574362065
synthetic,hard,hetero,4005,0.015,2.9190904228035657
synthetic,hard,hetero,4006,0.02,2.646617506954019
synthetic,hard,hetero,4007,0.045,3.801342544777835
synthetic,hard,hetero,4008,0.005,2.549394391269922
synthetic,hard,hetero,4009,0.01,3.5945028144813547
synthetic,hard,hetero,4010,0.095,2.609736376326113
synthetic,hard,hetero,4011,0.085,4.30639648465134
synthetic,hard,hetero,4012,0.01,3.3461589740550792
synthetic,hard,hetero,4013,0.015,2.8236959287922234
synthetic,hard,hetero,4014,0.04,2.481182015286638
synthetic,hard,hetero,4015,0.055,3.5216502574208537
synthetic,hard,hetero,4016,0.04,2.7176957954462133
synthetic,hard,hetero,4017,0.02,3.8277044568853924
synthetic,hard,hetero,4018,0.005,3.2790547793877365
synthetic,hard,hetero,4019,0.01,4.342916681184447
synthetic,hard,hetero,4020,0.04,2.932591944637509
synthetic,hard,hetero,4021,0.015,3.7594601802622885
synthetic,hard,hetero,4022,0.005,2.5220281003200133
synthetic,hard,hetero,4023,0.01,2.838226025237086
synthetic,hard,hetero,4024,0.055,3.770909348322651
synthetic,hard,hetero,4025,0.005,2.8920666271683704
synthetic,hard,hetero,4026,0.065,3.9840180335045328
synthetic,hard,hetero,4027,0.03,3.6398640064916474
synthetic,hard,hetero,4028,0.07,3.6348742933693976
synthetic,hard,hetero,4029,0.015,3.128820579838895
synthetic,hard,hetero,4030,0.005,2.3786244300529225
synthetic,hard,hetero,4031,0.07,2.8004608314894646
synthetic,hard,hetero,4032,0.06,2.979869109479294
synthetic,hard,hetero,4033,0.015,2.7442892821523346
synthetic,hard,hetero,4034,0.06,3.262560750480266
synthetic,hard,hetero,4035,0.02,3.5824571358473865
synthetic,hard,hetero,4036,0.005,4.133268569265575
synthetic,hard,hetero,4037,0.02,2.7379598908868212
synthetic,hard,hetero,4038,0.03,3.2198408673695873
synthetic,hard,hetero,4039,0.005,2.8694579034440713
synthetic,hard,hetero,4040,0.005,2.555582407085856
synthetic,hard,hetero,4041,0.01,3.761389051396654
synthetic,hard,hetero,4042,0.035,3.2992118218861735
synthetic,hard,hetero,4043,0.02,3.4297557818942246
synthetic,hard,hetero,4044,0.025,3.4800552059221177
synthetic,hard,hetero,4045,0.045,3.6608228640362848
synthetic,hard,hetero,4046,0.005,2.6172387902089436
synthetic,hard,hetero,4047,0.01,2.618362552163142
synthetic,hard,hetero,4048,0.01,3.2666558412837863
synthetic,hard,hetero,4049,0.01,3.0246965864957653
synthetic,hole,gauss,4000,0.01,3.0006684760598827
synthetic,hole,gauss,4001,0.005,3.3740939188998844
synthetic,hole,gauss,4002,0.005,3.4347456856995526
synthetic,hole,gauss,4003,0.005,2.9318614837585746
synthetic,hole,gauss,4004,0.005,2.515941438490388
synthetic,hole,gauss,4005,0.015,2.8149619749736843
synthetic,hole,gauss,4006,0.04,2.3865380724826455
synthetic,hole,gauss,4007,0.015,3.5443122434444048
synthetic,hole,gauss,4008,0.015,3.750626737420834
synthetic,hole,gauss,4009,0.005,3.7764709048162186
synthetic,hole,gauss,4010,0.005,2.119163332319519
synthetic,hole,gauss,4011,0.01,2.695739723793105
synthetic,hole,gauss,4012,0.02,2.6263390015827754
synthetic,hole,gauss,4013,0.005,4.879672472306077
synthetic,hole,gauss,4014,0.01,2.6675741694606914
synthetic,hole,gauss,4015,0.01,3.046736193639118
synthetic,hole,gauss,4016,0.01,3.130836517369473
synthetic,hole,gauss,4017,0.01,3.627813567344092
synthetic,hole,gauss,4018,0.045,2.4983936863249085
synthetic,hole,gauss,4019,0.01,3.5058639190878282
synthetic,hole,gauss,4020,0.01,3.932857553152155
synthetic,hole,gauss,4021,0.01,3.277706701025908
synthetic,hole,gauss,4022,0.025,4.649726180607441
synthetic,hole,gauss,4023,0.02,2.3373307807178314
synthetic,hole,gauss,4024,0.005,3.438263054529306
synthetic,hole,gauss,4025,0.015,3.505348962704825
synthetic,hole,gauss,4026,0.015,2.4410184606845196
synthetic,hole,gauss,4027,0.025,2.8030286217260203
synthetic,hole,gauss,4028,0.015,2.5495233445312557
synthetic,hole,gauss,4029,0.005,3.595703209429088
synthetic,hole,gauss,4030,0.005,3.9411012139222543
synthetic,hole,gauss,4031,0.015,3.175662677409232
synthetic,hole,gauss,4032,0.03,3.263423066511516
synthetic,hole,gauss,4033,0.01,2.8867279199556966
synthetic,hole,gauss,4034,0.015,3.1543974772344368
synthetic,hole,gauss,4035,0.07,2.219972018941917
