dataset,region,noise,arm,mae,mae_p,err_in,err_in_p,ph
houses,hard,clean,uniform,1.686321838410394,1.7687185049908294e-11,0.8064512383186656,0.10953049393459402,1.4149748039926635e-10
houses,hard,clean,kcenter,1.4401538426803786,1.34718902700115e-11,1.3547603797110794,0.004178445711550793,1.34718902700115e-10
houses,hard,clean,kcenter_a1,1.7746697504500255,1.5448975432263978e-11,0.4118627141049163,0.9389922173111831,1.390407788903758e-10
houses,hard,clean,loss,-2.1439658393911625,4.3148595807451784e-10,-0.8075513110298996,0.09513333936720869,3.020401706521625e-09
houses,hard,clean,jtt,-5.655737993854677,8.881784197001252e-15,-4.146039868266973,1.0633089786438177e-06,9.769962616701378e-14
houses,hard,clean,rho,0.9857356050093689,9.745764195656648e-08,0.4046965409801049,0.23352895058251377,5.847458517393989e-07
houses,hard,clean,rho_a1,0.29164294952847286,0.43191110415215306,-0.24047463342621173,0.24908489906916564,0.9062738199867226
houses,hard,clean,ws_default,0.23935831681656017,0.19095974436218555,1.0051978621175852,0.024847675451864504,0.9062738199867226
houses,hard,clean,ws_tuned,0.22873757353323404,0.18125476399734453,0.8121989293661135,0.06780369678404519,0.9062738199867226
houses,hard,clean,rho_landscape_a1,0.3282945088733609,0.2653376709882824,-0.11399894164390997,0.31832456588976044,0.9062738199867226
houses,hard,clean,rho_filter_a1,0.19664737402870874,0.3776732059941086,1.0711517771165875,0.056738698656332076,0.9062738199867226
houses,hard,clean,all_data,7.926377563425483,1.7763568394002505e-15,6.567920967592057,1.7763568394002505e-14,2.1316282072803006e-14
houses,hard,outlier,uniform,2.484698974649213,4.9604764740251994e-11,1.405834765172883,0.012213348101271393,3.9683811792201595e-10
houses,hard,outlier,kcenter,2.3875249445718927,8.060396794462577e-11,0.9968007086883129,0.056738698656332076,5.642277756123804e-10
houses,hard,outlier,kcenter_a1,2.956634738894556,7.94031507211912e-13,1.455797901812228,0.01958777690517799,7.146283564907208e-12
houses,hard,outlier,loss,-9.900869261750538,1.7763568394002505e-15,-7.863981827781645,1.0192735544478637e-11,2.1316282072803006e-14
houses,hard,outlier,jtt,-21.203224803859683,1.7763568394002505e-15,-18.479550544792794,1.7763568394002505e-15,2.1316282072803006e-14
houses,hard,outlier,rho,0.9567419153582831,0.0010644297047850415,-0.16009497313091173,0.8707939059443142,0.006386578228710249
houses,hard,outlier,rho_a1,0.42379031757095526,0.7448958960780061,-1.2199312752405496,0.3044806608698192,1.0
houses,hard,outlier,ws_default,-0.47756536050568643,0.5024899674262855,-1.146474385159877,0.1515030570827971,1.0
houses,hard,outlier,ws_tuned,0.6381445930496863,0.08054833435456032,1.1807130975548001,0.05803543429142444,0.24164500306368097
houses,hard,outlier,rho_landscape_a1,0.7596703840148676,0.031261656763490464,-0.8586707286516664,0.18768390417341507,0.15630828381745232
houses,hard,outlier,rho_filter_a1,0.5606553264078025,0.04719429796794117,-0.1999693798959053,0.8858855663449852,0.18877719187176467
houses,hard,outlier,all_data,9.180751768771305,1.7763568394002505e-15,7.293190594858827,2.4868995751603507e-14,2.1316282072803006e-14
houses,hard_sparse,clean,uniform,1.4152836642677569,8.855280952957401e-10,0.8599391977111778,0.1515030570827971,7.0842247623659205e-09
houses,hard_sparse,clean,kcenter,1.4118893043739316,7.237197507947712e-10,0.9856566264832562,0.49032624846387485,6.513477757152941e-09
houses,hard_sparse,clean,kcenter_a1,1.7556615355356646,1.34718902700115e-11,2.194573143015219,0.002614123910062105,1.34718902700115e-10
houses,hard_sparse,clean,loss,-1.711760529189305,3.918623114884667e-08,-0.3074357254657688,0.6253677971440439,2.743036180419267e-07
houses,hard_sparse,clean,jtt,-5.345642718678492,1.7763568394002505e-15,-3.3739123150511703,0.0009871220775430345,2.1316282072803006e-14
houses,hard_sparse,clean,rho,0.3818665964898501,0.052989788310034314,0.05832591150201418,0.9923668279164506,0.3179387298602059
houses,hard_sparse,clean,rho_a1,-0.1034452115670427,0.6947463342363385,-0.5420086120136314,0.3673427625704484,1.0
houses,hard_sparse,clean,ws_default,0.24847835569021148,0.12316903051698347,0.3878442867195502,0.49032624846387485,0.4926761220679339
houses,hard_sparse,clean,ws_tuned,0.2966173883104453,0.07719592312590784,1.9160729664665495,0.00032407658280853013,0.3859796156295392
houses,hard_sparse,clean,rho_landscape_a1,-0.17519285303817758,0.559104623193516,0.04134964245163407,0.9771032283055696,1.0
houses,hard_sparse,clean,rho_filter_a1,0.285741892633743,0.5210251168620434,1.715360102219279,0.01407853473248366,1.0
houses,hard_sparse,clean,all_data,8.063959262144452,1.7763568394002505e-15,7.07470626017111,3.6770586575585185e-13,2.1316282072803006e-14
houses,hard_sparse,outlier,uniform,2.2574119030865143,4.3148595807451784e-10,1.0704800590222057,0.06633200503891068,3.4518876645961427e-09
houses,hard_sparse,outlier,kcenter,2.3083252589447403,7.546860913976161e-09,1.7394126299183112,0.039015525521861605,5.282802639783313e-08
houses,hard_sparse,outlier,kcenter_a1,2.884883592926205,1.2871659293978155e-10,2.311096075792721,0.012213348101271393,1.158449336458034e-09
houses,hard_sparse,outlier,loss,-9.361905521916462,1.7763568394002505e-15,-9.141274992812598,1.192391962945294e-09,2.1316282072803006e-14
houses,hard_sparse,outlier,jtt,-20.57771784959087,1.7763568394002505e-15,-18.511109113302187,3.375077994860476e-14,2.1316282072803006e-14
houses,hard_sparse,outlier,rho,1.3692061030100986,0.0009149367393188612,2.038721231085343,0.01806109651468013,0.004574683696594306
houses,hard_sparse,outlier,rho_a1,1.0764141702545513,0.01855822259070905,-0.31994103852958167,0.6253677971440439,0.0371164451814181
houses,hard_sparse,outlier,ws_default,-0.0021258246029291277,0.8858855663449852,0.004454392691509083,0.31832456588976044,0.8858855663449852
houses,hard_sparse,outlier,ws_tuned,0.8614997584583948,0.008085622213709343,-0.005437164259770259,0.5462652589115535,0.024256866641128028
houses,hard_sparse,outlier,rho_landscape_a1,1.2409781576730334,0.0037864469724659955,0.0678530428649669,0.6185935400423848,0.015145787889863982
houses,hard_sparse,outlier,rho_filter_a1,1.3040021251354679,9.898605478397826e-06,1.7049115752038748,0.014890897756602683,5.939163287038696e-05
houses,hard_sparse,outlier,all_data,9.250031035466158,1.7763568394002505e-15,6.856613539164352,6.535714192068554e-10,2.1316282072803006e-14
houses,sparse_all,clean,uniform,1.3152790771106042,1.0633089786438177e-06,1.477124422326475,0.1515030570827971,7.443162850506724e-06
houses,sparse_all,clean,kcenter,1.4993714060436085,8.22989321136447e-09,1.9471221818297453,0.00784436585604098,6.583914569091576e-08
houses,sparse_all,clean,kcenter_a1,1.8757196168594843,2.5226754019058717e-10,2.94457090851334,0.0009149367393188612,2.5226754019058717e-09
houses,sparse_all,clean,loss,-2.1844859330888045,7.237197507947712e-10,-0.8222690215865153,0.5024899674262855,6.513477757152941e-09
houses,sparse_all,clean,jtt,-5.463321282451258,1.7763568394002505e-15,-3.679489412334756,0.0005510827602233093,2.1316282072803006e-14
