task,region,noise,seed,dim,emb_dim,init_mae,init_in,init_out,const_mae,detect_dist,detect_dist_emb,arm,hp,mae,err_in,err_out,err_in_emb,ess
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,uniform,uniform,0.5062753543763346,0.6286649732764051,0.4926765078318824,0.6303134608144186,1.0
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot,"weakspot|alpha=0.2,q=0.03",0.5087750344341673,0.6306754846149171,0.4952305399696395,0.6294752039032423,0.978684846012656
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot,"weakspot|alpha=0.2,q=0.1",0.5077166619384219,0.6292050872197192,0.4942179480182778,0.6285531953913973,0.9898536620081954
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot,"weakspot|alpha=0.2,q=0.3",0.5084168041376179,0.6304606697389386,0.49485637462636,0.6301559351602507,0.9953512604578414
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot,"weakspot|alpha=0.5,q=0.03",0.5142872021530726,0.6333133081871705,0.5010620792603951,0.633297585346585,0.8801878170114003
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot,"weakspot|alpha=0.5,q=0.1",0.5124206160099939,0.6314859877692119,0.49919113025896955,0.6308824327435082,0.9397925353049557
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot,"weakspot|alpha=0.5,q=0.3",0.5114231961047151,0.630364111682881,0.49820753881825225,0.6307440137034322,0.9716375875694393
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot,"weakspot|alpha=0.8,q=0.03",0.5205500997018618,0.6415906728271478,0.5071011471323856,0.6454026363079589,0.7415811120506702
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot,"weakspot|alpha=0.8,q=0.1",0.5179044617840763,0.6358706076653999,0.5047971122417072,0.6365643964419968,0.859102497386841
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot,"weakspot|alpha=0.8,q=0.3",0.5157088272921247,0.6323808807385006,0.5027452657980829,0.6370969813734867,0.9304686634313524
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot,"weakspot|alpha=1.0,q=0.03",0.5336261277362229,0.6522030430288968,0.5204509149259258,0.6590910416934318,0.6474651705377567
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot,"weakspot|alpha=1.0,q=0.1",0.5245526947897338,0.6414038708102133,0.5115692307874584,0.6402741053426414,0.796014492028336
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot,"weakspot|alpha=1.0,q=0.3",0.5186402070270151,0.6340315232479823,0.5058189496691298,0.6362947490964292,0.8954465172722815
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot_emb,"weakspot_emb|alpha=0.2,q=0.03",0.5092651555388304,0.631275801783117,0.495708417067243,0.6351128475776349,0.9918623983699579
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot_emb,"weakspot_emb|alpha=0.2,q=0.1",0.5101632542990131,0.6323087244205353,0.49659153539662176,0.6363169777661227,0.9940193963870216
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot_emb,"weakspot_emb|alpha=0.2,q=0.3",0.5080465350430695,0.6317426463401072,0.494302522676732,0.6334314468458243,0.9960401084946522
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot_emb,"weakspot_emb|alpha=0.5,q=0.03",0.5149959959997225,0.638234643986892,0.5013028128900369,0.6398265793205324,0.9512238254684566
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot_emb,"weakspot_emb|alpha=0.5,q=0.1",0.5140130362217807,0.6374607211872035,0.5002966267811783,0.6381327580370386,0.9637591245498236
cal8,real,real,3009,8,62,0.4705149710564033,0.5815245018805172,0.45818057874261287,0.93332666375,,,weakspot_emb,"weakspot_emb|alpha=0.5,q=0.3",0.5121551598865556,0.6338113888178211,0.4986378011164149,0.6354044703947358,0.9757547235783482
