dataset,region,noise,seed,init_mae,init_in,init_out,region_share_R,prec_knn,arm,mae,err_in,err_out,n_in_region,error
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,all_data,0.057190454495672824,0.08103919324478066,0.05473785467394213,,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,random,0.10245446611784341,0.41107787054107503,0.07071569306852843,,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,uniform,0.08644107590167127,0.2578722520579441,0.06881112588615161,21.0,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,kcenter,0.08870886881268862,0.26364699452985296,0.07071826476181949,32.0,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,loss,0.07701600075791609,0.14813186687415572,0.06970245841952145,41.0,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,jtt,0.07612784834823748,0.12443025123603822,0.07116043829112424,43.0,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,rho,0.08011658436431685,0.1847659970693122,0.0693544583816967,48.0,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,rho_landscape,0.07123374066781747,0.13181515202704053,0.06500355968160568,45.0,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,rho_filter,0.07145247983039338,0.12302973776634382,0.06614828429410732,48.0,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,ws_default,0.09806045069624052,0.41639877112921997,0.06532259750586243,33.0,
synth2d,sparse_init,clean,7000,0.2258191088807652,0.5421027725253446,0.19329255620929348,0.12266666666666666,0.38222222222222224,ws_tuned,0.07879926252616785,0.14972057893728455,0.07150572764297333,56.0,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,all_data,0.053319936864930556,0.05499294920082464,0.05314124766690755,,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,random,0.09201349937779946,0.20035664166257222,0.08044170830919893,,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,uniform,0.089510875045982,0.1947594589917389,0.07826960404347451,24.0,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,kcenter,0.09086468154659938,0.19304223266444404,0.07995141792416219,27.0,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,loss,0.08245473378438127,0.1189007782831634,0.07856204613177202,35.0,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,jtt,0.09449603393629681,0.136940645988813,0.0899626581055632,40.0,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,rho,0.08490183358707466,0.11765128888297866,0.08140396702807662,42.0,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,rho_landscape,0.09065647895532422,0.14554327792091162,0.08479419218146791,38.0,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,rho_filter,0.08804840159110328,0.14008585983965544,0.08249044395857943,39.0,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,ws_default,0.08946019059441326,0.196480261814408,0.07802971259471266,23.0,
synth2d,sparse_init,clean,7001,0.23657340069389277,0.47648609614125437,0.21094907849060512,0.11466666666666667,0.3466666666666667,ws_tuned,0.08389509927256274,0.14987632311539367,0.07684785178962618,48.0,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,all_data,0.054980327187855095,0.06995726563581989,0.05332084414405116,,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,random,0.10869826464330652,0.15402973539476897,0.10367542186912337,,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,uniform,0.10031739731836016,0.1410229583092538,0.09580711716413452,26.0,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,kcenter,0.10379502107410435,0.15051466139716313,0.09861836556482903,40.0,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,loss,0.0939903768501425,0.14273387092443604,0.08858947317459596,31.0,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,jtt,0.09737114342055214,0.1394528046877977,0.09270838783998259,23.0,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,rho,0.08710686735164139,0.15593081112364357,0.07948099854713461,21.0,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,rho_landscape,0.08957625818226195,0.14421143544096232,0.08352254095754065,21.0,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,rho_filter,0.08844754587468731,0.1482387996445511,0.08182252219954826,25.0,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,ws_default,0.09652999036115813,0.14723809676613642,0.09091140262008998,25.0,
synth2d,sparse_init,clean,7002,0.2930831752018095,0.3237113660803672,0.28968949340215805,0.124,0.17333333333333334,ws_tuned,0.08844621249844713,0.14730530312868048,0.0819244748807123,26.0,
synth2d,sparse_init,clean,7003,0.29880488500121005,0.47897128769789715,0.27978234054843654,0.126,0.24,all_data,0.052348919136666894,0.038831102153911355,0.05377617344496225,,
synth2d,sparse_init,clean,7003,0.29880488500121005,0.47897128769789715,0.27978234054843654,0.126,0.24,random,0.10967291758841693,0.18071337878691338,0.10217223871118486,,
synth2d,sparse_init,clean,7003,0.29880488500121005,0.47897128769789715,0.27978234054843654,0.126,0.24,uniform,0.10960973699178521,0.19497465092087057,0.10059663662669106,20.0,
synth2d,sparse_init,clean,7003,0.29880488500121005,0.47897128769789715,0.27978234054843654,0.126,0.24,kcenter,0.10071475702601494,0.14423897508516068,0.09611933101755897,40.0,
synth2d,sparse_init,clean,7003,0.29880488500121005,0.47897128769789715,0.27978234054843654,0.126,0.24,loss,0.09686736717722903,0.12535487292847786,0.09385956529857312,36.0,
