d,n,g,es,t,init,const,ratio,dist,dist_emb
2,1000,cos,False,3.6016032695770264,0.16462562686259305,0.7744268277475641,2.8908883111798938,0.0740997924191901,0.08608794801093224
2,1000,cos,False,3.8427484035491943,0.1254996672139127,0.7881739054767343,4.32831712750195,0.05488829502273314,0.05488829502273314
2,1000,cos,False,4.123922109603882,0.13103094818455852,0.7805513523047569,4.961467177024803,0.07960248457667532,0.09509623456268156
2,1000,cos,False,4.002906084060669,0.14722814625370356,0.7548633348039052,3.9540214256360313,0.06897276884050209,0.0673139715785044
2,1000,cos,False,4.012620687484741,0.14315804728014997,0.7960522407880711,4.403965175516254,0.07439556769671672,0.07439556769671672
2,1000,cos,False,4.194500207901001,0.14942916157062,0.7896665020021935,3.8200142159275217,0.047584464060645315,0.047584464060645315
5,2000,cos,False,10.061121463775635,0.2594686408109634,0.9396802925674594,2.091662220666904,0.12173177382786915,0.13977103333609747
5,2000,cos,False,9.547897815704346,0.2799058967030893,0.9314960480073471,1.7909647783590852,0.11246854566577263,0.06727119343770507
5,2000,cos,False,8.753360748291016,0.27289398052141645,0.9594768816982394,1.8233671723771525,0.09827087383981413,0.09827087383981413
5,2000,cos,False,7.72632908821106,0.28912561964137123,0.9716594168697071,1.9437623664167758,0.7491334295986206,0.7662315492932401
5,2000,cos,False,9.358983278274536,0.271673377877431,0.9596975467786436,1.8923113255656274,0.06801620628779462,0.07656525339099951
5,2000,cos,False,7.871718406677246,0.27373374617008367,0.9440524949842017,2.010152081919516,0.08999722336673793,0.08999722336673793
5,4000,cos,False,17.444763660430908,0.16003860821051857,0.9528334840831307,3.146939591563342,0.037984031520614935,0.054111490340965074
5,4000,cos,False,20.80687689781189,0.16064867307795094,0.9478969260693525,2.9062731761170615,0.08910820318050815,0.014527396373983162
5,4000,cos,False,19.19218397140503,0.13590244082443179,0.9661679705568363,3.334518193745288,0.02959031524393054,0.07543869290744447
5,4000,cos,False,16.945629358291626,0.1400800522412876,0.9628810662153683,3.256764999359065,0.05646491172589653,0.05339098356002433
5,4000,cos,False,19.109243154525757,0.1439817332475971,0.9374258086620427,3.0699674850050163,0.052415626390333536,0.07656525339099951
5,4000,cos,False,20.709760665893555,0.14019388684463352,0.9543410019020967,3.414675408738602,0.05987120419138591,0.05987120419138591
10,4000,cos,False,21.601577281951904,0.40875909693278445,0.9414185332718571,1.3942806134156294,0.6575924429435388,0.5638725802564829
10,4000,cos,False,14.892388820648193,0.38756974351099055,0.9369572999009816,1.4165894853866008,0.41706635419190985,0.062222476720330454
10,4000,cos,False,21.47598385810852,0.3665394782173207,0.9700152257711602,1.684965791537658,0.09335607841016921,0.6703060272010901
10,4000,cos,False,20.630677938461304,0.43565710450409373,0.9506703657789185,1.4771017376980011,0.6359526664951837,0.6359526664951837
10,4000,cos,False,18.744571208953857,0.40872945672117544,0.9395342983225482,1.4643272663946614,0.1471045475293829,0.07012056382313889
10,4000,cos,False,20.4237859249115,0.3665444972946058,0.9344661723193844,1.395595166451934,0.5331573830255332,0.046055099285563915
10,8000,cos,False,43.72907519340515,0.1596130596060721,0.9517611506980747,2.0479072892061416,0.08184824286239205,0.08421821211311464
10,8000,cos,False,38.516563415527344,0.16326693907369688,0.9364538768731133,2.0230784757519724,0.06863448447594017,0.09298430073990051
10,8000,cos,False,33.77133774757385,0.1460223894091328,0.9461909136725977,2.1035164622170863,0.09335607841016921,0.05988702068772842
10,8000,cos,False,35.777121782302856,0.14422128738989448,0.9405220962528379,2.2740057205984265,0.13144449380388698,0.07854803514849043
10,8000,cos,False,38.07824921607971,0.1453674411969714,0.964964218311809,2.2298744290244676,0.2298823636445569,0.01978126306487458
10,8000,cos,False,30.65743374824524,0.18347773861279817,0.9219473562424618,2.6691357748622577,0.15217294629338743,0.04211170075569869
20,8000,cos,False,39.708696126937866,0.4451307411440576,0.9309736206019218,1.3994624418730646,0.173448553158924,0.629018239818941
20,8000,cos,False,43.6908962726593,0.5019346514474698,0.9486734349925492,1.2944552856639826,0.6458567808075885,0.6918126255032748
20,8000,cos,False,36.863637924194336,0.4797188458856923,0.9494954032630121,1.2985100110592105,0.7476472618180765,0.6614316419421202
20,8000,cos,False,40.34338569641113,0.4794088716364613,0.9431490218713586,1.3293018644338361,0.5975208240026022,0.6451412547785788
20,8000,cos,False,43.707956075668335,0.47134099441454497,0.9608382218366867,1.4487328512409803,0.06305092633557327,0.747861047194968
20,8000,cos,False,38.91790843009949,0.4917592416825535,0.9368673269209441,1.3301627704367467,0.7367578013816604,0.7525637927832107
20,16000,cos,False,65.3268530368805,0.14736131279508785,0.9416530743946798,2.380412099131885,0.2865886028843465,0.11257774703182896
20,16000,cos,False,55.15306830406189,0.16748826303914455,0.933410591279729,2.395072862459177,0.28175227043847,0.06147471118699645
20,16000,cos,False,55.58598351478577,0.15346154632263848,0.9421847573212146,2.3920471709562965,0.18986685450151525,0.024549781890604666
20,16000,cos,False,63.09134292602539,0.16493191928670678,0.9465162702278126,2.272457306480798,0.045514145060650144,0.09541003638970649
20,16000,cos,False,67.50918197631836,0.17953299813563006,0.9679320669216898,2.537767383049004,0.2501014458437023,0.10152308379806484
20,16000,cos,False,46.904096841812134,0.20286144633484393,0.9714625761591021,2.5345767163528317,0.23802307834684458,0.1440087590257376
