dataset,region,noise,seed,n_init,iters_initial,init_mae,init_in,init_out,region_share_R,prec_knn,prec_evtgpr,arm,alpha,top_q,mae,err_in,err_out,n_in_region,error
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.35,0.85,0.22911458967628703,0.6202649940038283,0.18200123565364204,28.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.35,0.95,0.2281257293368446,0.5361801731657213,0.1910211324610976,48.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_evtgpr,0.35,0.85,0.22894487085850126,0.5874107000111924,0.18576831440593625,34.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.5,0.7,0.23264388430497235,0.5579532131973707,0.19346096793978154,37.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.5,0.85,0.23818636846484503,0.6128077328278894,0.19306390721103298,38.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.5,0.95,0.22563748004444245,0.5239409809301672,0.18970736649238032,59.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_evtgpr,0.5,0.85,0.22983663629007225,0.5834514517056213,0.187244375609768,37.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.75,0.7,0.23045235813250237,0.6066837861293741,0.1851359676454842,40.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.75,0.85,0.20847852150207577,0.5155891152100084,0.1714876096549018,51.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,0.75,0.95,0.21415067522612105,0.49857425044020703,0.17989237344963452,61.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_evtgpr,0.75,0.85,0.21234209964904777,0.5243208191947863,0.1747648309082445,48.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,1.0,0.7,0.2133788823157024,0.5259682220845434,0.1757280654808,37.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,1.0,0.85,0.2145797630718327,0.5045121493096725,0.1796579350375831,70.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_knn,1.0,0.95,0.22137209461599117,0.4974340069263817,0.1881209399119385,63.0,
synth2d,hard,clean,6101,250,400,0.36231377589322766,0.6896618839695793,0.32288529228739266,0.09142857142857143,0.3193916349809886,0.3269961977186312,ws_region_evtgpr,1.0,0.85,0.22009121870016288,0.5114274713066679,0.18500029751786673,72.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,random,0.0,,0.2189351497609114,0.5043063368714399,0.185722817909086,,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.1,0.7,0.22074892910770955,0.5259656419656208,0.18522691703354016,20.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.1,0.85,0.22518552470647335,0.5158535969068706,0.19135672590447347,26.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.1,0.95,0.21805172963281153,0.5348351634063832,0.18118354881127108,21.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_evtgpr,0.1,0.85,0.21853154039761047,0.5323854831865381,0.18200430228904702,22.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.2,0.7,0.23675603524973446,0.5396283129758868,0.20150687538040551,23.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.2,0.85,0.21656605858572112,0.5426574308056179,0.1786145927147479,23.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.2,0.95,0.21545341697696838,0.46213932675884833,0.18674339063618017,25.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_evtgpr,0.2,0.85,0.2201928084798693,0.5087567439345398,0.18660889525503047,21.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.35,0.7,0.22105162841318676,0.48074802455206755,0.19082740368812026,26.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.35,0.85,0.21616970771856336,0.49727183690509263,0.18345422129077027,22.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.35,0.95,0.21619000360023205,0.4738850681723777,0.18619869968547215,26.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_evtgpr,0.35,0.85,0.2090195996147325,0.5043706894665259,0.17464577754713612,26.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.5,0.7,0.21719374389922053,0.48412018816820035,0.18612806506579474,27.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.5,0.85,0.20684682834404194,0.48342956702500295,0.17465732177693039,35.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.5,0.95,0.205125884943099,0.4453358905946793,0.1771695432303697,28.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_evtgpr,0.5,0.85,0.22731735450188262,0.48452629069537373,0.19738262762700523,28.0,
synth2d,hard,clean,6102,250,400,0.3154126607959888,0.5877922513346838,0.28371232888009823,0.09942857142857142,0.23954372623574144,0.21292775665399238,ws_region_knn,0.75,0.7,0.21688920383261615,0.5001417207499098,0.18392344900300092,30.0,
