dataset,region,noise,seed,region_share_R,detector,mae,err_in,secs,prec,error
synth2d,hard,clean,6200,0.09466666666666666,random,0.1639923528523072,0.3722280177717816,,,
synth2d,hard,clean,6200,0.09466666666666666,"kNN (LOO, default)",0.1380311584862063,0.3678315961367981,0.013420581817626953,0.2,
synth2d,hard,clean,6200,0.09466666666666666,Gaussian Process Regression,0.14447995392654428,0.39412164807176675,4.169921159744263,0.252212389380531,
synth2d,hard,clean,6200,0.09466666666666666,Polynomial Response Surface,0.15377992903510523,0.3785766428589665,0.012664079666137695,0.0,
synth2d,hard,clean,6200,0.09466666666666666,RBF Interpolation,0.1380451818915646,0.39007399754826133,0.07261419296264648,0.23008849557522124,
synth2d,hard,clean,6200,0.09466666666666666,kNN Performance Mapping,0.1498195663590317,0.3785984280858164,0.03640174865722656,0.21238938053097345,
synth2d,hard,clean,6200,0.09466666666666666,LOESS Local Regression,0.13531561939130674,0.3878547986148299,0.3265519142150879,0.22123893805309736,
synth2d,hard,clean,6200,0.09466666666666666,Quantile Regression,0.16473542364248664,0.3724813104192821,0.211320161819458,0.09466666666666666,
synth2d,hard,clean,6200,0.09466666666666666,Peaks over Threshold (EVT),0.1509023244466439,0.3809775445662637,0.04775834083557129,0.23008849557522124,
synth2d,hard,clean,6200,0.09466666666666666,Bayesian Optimization (EI),0.15237322528639094,0.3862628524760728,6.867455244064331,0.17699115044247787,
synth2d,hard,clean,6200,0.09466666666666666,kNN + GPR (mean),0.14392350197561832,0.3714699380350333,4.357208728790283,0.23893805309734514,
synth2d,hard,clean,6200,0.09466666666666666,kNN + Quantile (mean),0.14617199805535325,0.37327680748107184,0.2958824634552002,0.21238938053097345,
synth2d,hard,clean,6200,0.09466666666666666,Anchored GPR (QR prior),0.14033414674601338,0.3704502566740176,5.534717798233032,0.252212389380531,
synth2d,hard,clean,6200,0.09466666666666666,Gated GPR (QR anchor),0.16032338808927857,0.376843855489426,3.6412081718444824,0.252212389380531,
synth2d,hard,clean,6200,0.09466666666666666,QR × GPR (geometric),0.15116032723157158,0.36743404833966836,5.032849550247192,0.09466666666666666,
synth2d,hard,clean,6200,0.09466666666666666,EVT × GPR (geometric),0.14971060825366517,0.38242610593415755,4.1571972370147705,0.24336283185840707,
synth2d,hard,clean,6200,0.09466666666666666,GPR/kNN (variance-weighted),0.14006672502271045,0.3907138446409051,4.112907648086548,0.24336283185840707,
synth2d,hard,clean,6200,0.09466666666666666,GPR/kNN (disagreement-amplified),0.14123232406887587,0.36941636195168864,3.9872989654541016,0.252212389380531,
synth2d,hard,clean,6200,0.09466666666666666,Local GPR (QR-localised),0.1610904066012671,0.37682759779707997,2.7539429664611816,0.2168141592920354,
synth2d,hard,clean,6201,0.09333333333333334,random,0.1434169373869017,0.4103883550065003,,,
synth2d,hard,clean,6201,0.09333333333333334,"kNN (LOO, default)",0.14001153390217508,0.4134848566426303,0.013543128967285156,0.24888888888888888,
synth2d,hard,clean,6201,0.09333333333333334,Gaussian Process Regression,0.1389235152984903,0.4023019220359226,4.840138912200928,0.2079646017699115,
synth2d,hard,clean,6201,0.09333333333333334,Polynomial Response Surface,0.14221644874557762,0.39059496136543026,0.01510477066040039,0.19911504424778761,
synth2d,hard,clean,6201,0.09333333333333334,RBF Interpolation,0.13008014472210658,0.3892410025502763,0.07415151596069336,0.1902654867256637,
synth2d,hard,clean,6201,0.09333333333333334,kNN Performance Mapping,0.13574752810952698,0.39642805161618516,0.02656102180480957,0.2168141592920354,
synth2d,hard,clean,6201,0.09333333333333334,LOESS Local Regression,0.13545971444947072,0.3854211889708701,0.3450777530670166,0.24778761061946902,
synth2d,hard,clean,6201,0.09333333333333334,Quantile Regression,0.14599548902408982,0.3963549180157808,0.21306681632995605,0.10660486674391657,
synth2d,hard,clean,6201,0.09333333333333334,Peaks over Threshold (EVT),0.13814590729766757,0.40215504644159034,0.04425501823425293,0.1902654867256637,
synth2d,hard,clean,6201,0.09333333333333334,Bayesian Optimization (EI),0.13208375941274603,0.3862483105887371,5.159599304199219,0.2079646017699115,
synth2d,hard,clean,6201,0.09333333333333334,kNN + GPR (mean),0.13910007943489366,0.40484499932178036,4.280246734619141,0.19469026548672566,
synth2d,hard,clean,6201,0.09333333333333334,kNN + Quantile (mean),0.1396859224354076,0.41043353009321487,0.15454721450805664,0.2831858407079646,
synth2d,hard,clean,6201,0.09333333333333334,Anchored GPR (QR prior),0.13753652433346764,0.3876121274909766,5.598069667816162,0.2079646017699115,
synth2d,hard,clean,6201,0.09333333333333334,Gated GPR (QR anchor),0.13773259777132596,0.4187223674909528,3.485206365585327,0.168141592920354,
synth2d,hard,clean,6201,0.09333333333333334,QR × GPR (geometric),0.1408581357885121,0.40424204387403356,2.8869504928588867,0.12282734646581692,
