n_data,iters,amp,freq,seed,region,init_mae,const_mae,ratio,p_gate,dist
500,200,1.0,5.0,3008,hard,0.2950072061345685,0.7643583843010571,0.8151046170012822,0.015,0.6691682816803642
500,200,1.0,5.0,3008,none,0.2829499089328615,0.7657192129253845,0.5369113788721019,0.015,0.6680451514199828
500,200,1.0,5.0,3009,hard,0.2895577259677913,0.7487089572513601,0.8340088457770204,0.025,0.6016850911997619
500,200,1.0,5.0,3009,none,0.27906668519005096,0.7462644982817396,0.5512339200272794,0.025,0.6011005488003545
500,200,1.0,5.0,3010,hard,0.3246232174420471,0.758679733054175,0.9218259626394768,0.11,0.6350372584926454
500,200,1.0,5.0,3010,none,0.3158561368941136,0.7573480628688757,0.7539444819911735,0.105,0.6320392162175542
500,200,1.0,5.0,3011,hard,0.3225521012281034,0.7586276068263237,0.9197759269232861,0.025,0.600274217450018
500,200,1.0,5.0,3011,none,0.31070891075220897,0.7566508905754039,0.6783935566924185,0.025,0.5988126236389039
500,200,1.0,5.0,3012,hard,0.29131494589576273,0.7474382422722782,0.9374899870685486,0.085,0.5007932720182487
500,200,1.0,5.0,3012,none,0.2853015384915194,0.7455562167555014,0.7597602230694559,0.085,0.505820113107389
500,200,1.0,5.0,3013,hard,0.2883931706772864,0.7543662575372034,0.9630767736725991,0.015,0.6267278546768141
500,200,1.0,5.0,3013,none,0.28540747075805295,0.7520350707979753,0.8035102024321629,0.015,0.6291710428386849
500,200,1.0,5.0,3014,hard,0.8258728461080163,0.7716825659810901,1.133334295392363,0.005,0.3014969599164805
500,200,1.0,5.0,3014,none,0.8249696518452774,0.7690512065012997,1.125466711915387,0.005,0.2845212485201462
500,200,1.0,5.0,3015,hard,0.29882163291215663,0.7652090724420901,0.8963588703963283,0.01,0.6506276641932229
500,200,1.0,5.0,3015,none,0.2959170419664193,0.7646006968767887,0.7146383188154393,0.01,0.6505745624226389
500,200,1.0,5.0,3016,hard,0.3145232756427682,0.7576180553865638,0.7521607886136312,0.025,0.6506835019060555
500,200,1.0,5.0,3016,none,0.30371104272222593,0.7571017532882872,0.5909087377505566,0.025,0.648798754165038
500,200,1.0,5.0,3017,hard,0.2957926431643608,0.7457620046516129,0.9105258912799605,0.045,0.6554974153205706
500,200,1.0,5.0,3017,none,0.28524620848267895,0.7454082293155815,0.665853196086518,0.04,0.6546818816207075
500,200,1.0,5.0,3018,hard,0.309418318913909,0.7746216279308235,1.0256267184581753,0.005,0.6373657198127928
500,200,1.0,5.0,3018,none,0.297031901837697,0.7722374777125725,0.733799335428388,0.005,0.6355612139968863
500,200,1.0,5.0,3019,hard,0.2985576476285444,0.753519013906984,1.0430781911774634,0.04,0.6164108702480012
500,200,1.0,5.0,3019,none,0.2849345512701898,0.7498917513414844,0.8395849255398085,0.04,0.6161418187082561
500,200,2.0,3.0,3000,hard,0.7854607235473443,0.759258445331536,1.0230020751608386,0.005,0.2868823770629647
500,200,2.0,3.0,3000,none,0.7817491117385429,0.754907044528664,0.9755556187563124,0.005,0.30183559550182415
500,200,2.0,3.0,3001,hard,0.3067007508301346,0.7772503427388192,1.1246909956362736,0.01,0.6240598492170059
500,200,2.0,3.0,3001,none,0.2896302406698355,0.768544443377172,0.6025690393815475,0.01,0.629574812295189
500,200,2.0,3.0,3002,hard,0.3172191017670159,0.7687203631582049,1.1045632028551968,0.035,0.6459520465934399
500,200,2.0,3.0,3002,none,0.2971921291392292,0.7651874545060636,0.6483501091821999,0.015,0.6457186869750876
500,200,2.0,3.0,3003,hard,0.3196874689207493,0.7408088668886332,1.0793914959444364,0.005,0.6154526628829653
500,200,2.0,3.0,3003,none,0.2776590876166804,0.7435495688576028,0.7757961765318575,0.005,0.6140122918258111
500,200,2.0,3.0,3004,hard,0.31610068122409457,0.7801711110200591,1.2161258327692597,0.01,0.6248544561545549
500,200,2.0,3.0,3004,none,0.29112195223354026,0.7752247221465973,0.7028920489106567,0.01,0.6274252616917524
500,200,2.0,3.0,3005,hard,0.31159018079251743,0.7752848573446067,1.1694069340279811,0.005,0.6383692180169721
500,200,2.0,3.0,3005,none,0.29552501739671044,0.7674015762475941,0.7712080333537354,0.005,0.6269010047559292
500,200,2.0,3.0,3006,hard,0.3189872272620325,0.7677673347956204,1.106482880480016,0.035,0.6426663239165117
500,200,2.0,3.0,3006,none,0.28279032262391074,0.7649647263686042,0.7182918474051251,0.025,0.6406051229059108
500,200,2.0,3.0,3007,hard,0.30176921712132654,0.7685761933307133,1.1669653117677665,0.04,0.6443684179764191
500,200,2.0,3.0,3007,none,0.2882979285670673,0.7707080101283507,0.7461660490834405,0.035,0.6434396212457664
500,200,2.0,3.0,3008,hard,0.31209316965017375,0.7653872305550049,1.1588915639229223,0.015,0.667686372920471
500,200,2.0,3.0,3008,none,0.2829499089328615,0.7657192129253845,0.5369113788721019,0.015,0.6680451514199828
500,200,2.0,3.0,3009,hard,0.3014708111749934,0.7512463021466765,1.0946902999598254,0.025,0.599183747397603
500,200,2.0,3.0,3009,none,0.27906668519005096,0.7462644982817396,0.5512339200272794,0.025,0.6011005488003545
500,200,2.0,3.0,3010,hard,0.3411443641087979,0.7651685983546119,1.1272981190436198,0.15,0.6425246104044886
500,200,2.0,3.0,3010,none,0.3158561368941136,0.7573480628688757,0.7539444819911735,0.105,0.6320392162175542
500,200,2.0,3.0,3011,hard,0.33230579549132994,0.7606646707439243,1.0706706307482607,0.025,0.5983571780323657
500,200,2.0,3.0,3011,none,0.31070891075220897,0.7566508905754039,0.6783935566924185,0.025,0.5988126236389039
500,200,2.0,3.0,3012,hard,0.30984139263305727,0.748958551842184,1.155794111312213,0.115,0.4978105943311817
500,200,2.0,3.0,3012,none,0.2853015384915194,0.7455562167555014,0.7597602230694559,0.085,0.505820113107389
500,200,2.0,3.0,3013,hard,0.30733528629185103,0.7555850836975029,1.1345860355788058,0.015,0.6378144450013205
500,200,2.0,3.0,3013,none,0.28540747075805295,0.7520350707979753,0.8035102024321629,0.015,0.6291710428386849
500,200,2.0,3.0,3014,hard,0.8266318407523048,0.7753633962652434,1.159840943351508,0.005,0.2915983272949278
500,200,2.0,3.0,3014,none,0.8249696518452774,0.7690512065012997,1.125466711915387,0.005,0.2845212485201462
500,200,2.0,3.0,3015,hard,0.3075661319235527,0.7643898632889209,1.058248474203392,0.015,0.6493101754994919
500,200,2.0,3.0,3015,none,0.2959170419664193,0.7646006968767887,0.7146383188154393,0.01,0.6505745624226389
500,200,2.0,3.0,3016,hard,0.3177787540756835,0.7617671137162715,1.013912315282444,0.04,0.6474196637283315
500,200,2.0,3.0,3016,none,0.30371104272222593,0.7571017532882872,0.5909087377505566,0.025,0.648798754165038
500,200,2.0,3.0,3017,hard,0.30539854835096764,0.748488314131395,1.1861225889055187,0.025,0.6652158744673079
500,200,2.0,3.0,3017,none,0.28524620848267895,0.7454082293155815,0.665853196086518,0.04,0.6546818816207075
500,200,2.0,3.0,3018,hard,0.3188545147494615,0.7738931795474807,1.3255552034384652,0.005,0.6404475041948299
500,200,2.0,3.0,3018,none,0.297031901837697,0.7722374777125725,0.733799335428388,0.005,0.6355612139968863
500,200,2.0,3.0,3019,hard,0.3040636119060269,0.753818891032065,1.1931484521731637,0.04,0.6142339795366314
500,200,2.0,3.0,3019,none,0.2849345512701898,0.7498917513414844,0.8395849255398085,0.04,0.6161418187082561
500,200,2.0,5.0,3000,hard,0.7889592119120464,0.7617121555372717,0.9938215292812754,0.005,0.29330555332497277
500,200,2.0,5.0,3000,none,0.7817491117385429,0.754907044528664,0.9755556187563124,0.005,0.30183559550182415
500,200,2.0,5.0,3001,hard,0.3185357273569313,0.7783232722877285,1.263901267995026,0.01,0.6285550738620761
500,200,2.0,5.0,3001,none,0.2896302406698355,0.768544443377172,0.6025690393815475,0.01,0.629574812295189
500,200,2.0,5.0,3002,hard,0.32547004564145376,0.7733688019108589,1.34536936078395,0.02,0.646696587657802
500,200,2.0,5.0,3002,none,0.2971921291392292,0.7651874545060636,0.6483501091821999,0.015,0.6457186869750876
500,200,2.0,5.0,3003,hard,0.32725326201542115,0.7522620920478973,1.3592620702567064,0.005,0.5851005206543375
500,200,2.0,5.0,3003,none,0.2776590876166804,0.7435495688576028,0.7757961765318575,0.005,0.6140122918258111
500,200,2.0,5.0,3004,hard,0.320925581095721,0.7852354067504588,1.4159104472238486,0.085,0.6256172670200884
500,200,2.0,5.0,3004,none,0.29112195223354026,0.7752247221465973,0.7028920489106567,0.01,0.6274252616917524
500,200,2.0,5.0,3005,hard,0.32528405926990256,0.7812110088589241,1.5456122644835013,0.005,0.6371122906964805
500,200,2.0,5.0,3005,none,0.29552501739671044,0.7674015762475941,0.7712080333537354,0.005,0.6269010047559292
