task,region,noise,arm,hp,dim,whole,p,inside,p_in,outside,ess,detect_dist,detect_dist_emb,init_mae,const_mae,init_in,init_out,uni_mae,n
cal8,real,real,jtt,"jtt|q=0.2,lam=10",8,-11.45375094962156,1.9073486328125e-06,-9.62520765709622,1.9073486328125e-06,-11.685856449546943,0.376923076923077,,,0.44968905193598363,0.9136544107546876,0.5112316271826569,0.4428509880196866,0.4831160985978677,20
cal8,real,real,jtt,"jtt|q=0.2,lam=2",8,-2.8885061841115465,1.9073486328125e-06,-2.0899194264965173,1.9073486328125e-06,-2.989874513408272,0.9,,,0.44968905193598363,0.9136544107546876,0.5112316271826569,0.4428509880196866,0.4831160985978677,20
cal8,real,real,jtt,"jtt|q=0.2,lam=5",8,-7.400310932382085,1.9073486328125e-06,-6.088075832413063,1.9073486328125e-06,-7.566879033418022,0.5586206896551722,,,0.44968905193598363,0.9136544107546876,0.5112316271826569,0.4428509880196866,0.4831160985978677,20
cal8,real,real,loss,loss|alpha=0.5,8,-5.2472299146705605,1.9073486328125e-06,-5.064485927702748,1.9073486328125e-06,-5.27042645840399,0.8141540502577943,,,0.44968905193598363,0.9136544107546876,0.5112316271826569,0.4428509880196866,0.4831160985978677,20
cal8,real,real,loss,loss|alpha=1.0,8,-9.818533554059332,1.9073486328125e-06,-9.687190134403329,1.9073486328125e-06,-9.835205584853343,0.5231514814806146,,,0.44968905193598363,0.9136544107546876,0.5112316271826569,0.4428509880196866,0.4831160985978677,20
cal8,real,real,random_emb,"random_emb|alpha=0.5,q=0.03",8,-1.2134949789209073,0.0007076263427734375,-1.5131740904007773,0.01531219482421875,-1.1754553162716475,0.20341476620659987,,,0.44968905193598363,0.9136544107546876,0.5112316271826569,0.4428509880196866,0.4831160985978677,20
cal8,real,real,random_emb,"random_emb|alpha=0.5,q=0.1",8,-1.7033354755889647,1.9073486328125e-06,-1.4403004849122107,0.000209808349609375,-1.7367237296480662,0.4999756942585002,,,0.44968905193598363,0.9136544107546876,0.5112316271826569,0.4428509880196866,0.4831160985978677,20
cal8,real,real,random_emb,"random_emb|alpha=0.5,q=0.3",8,-1.2837119203338814,1.9073486328125e-06,-1.1170529179763704,6.29425048828125e-05,-1.304866722201237,0.8350771776306501,,,0.44968905193598363,0.9136544107546876,0.5112316271826569,0.4428509880196866,0.4831160985978677,20
cal8,real,real,random_emb,"random_emb|alpha=1.0,q=0.03",8,-52.43579884225765,1.9073486328125e-06,-33.0444506827312,1.9073486328125e-06,-54.89723280293686,0.06000868030807521,,,0.44968905193598363,0.9136544107546876,0.5112316271826569,0.4428509880196866,0.4831160985978677,20
cal8,real,real,random_emb,"random_emb|alpha=1.0,q=0.1",8,-14.677798149989535,1.9073486328125e-06,-11.466543524109472,1.9073486328125e-06,-15.085417626856403,0.1999844447791374,,,0.44968905193598363,0.9136544107546876,0.5112316271826569,0.4428509880196866,0.4831160985978677,20
cal8,real,real,random_emb,"random_emb|alpha=1.0,q=0.3",8,-3.5659816334645202,1.9073486328125e-06,-3.3177441380323383,3.62396240234375e-05,-3.5974915726675096,0.5586665734568823,,,0.44968905193598363,0.9136544107546876,0.5112316271826569,0.4428509880196866,0.4831160985978677,20
cal8,real,real,smoothed_loss,smoothed_loss|alpha=0.5,8,-1.1930621329705806,1.9073486328125e-06,-0.7627278348386826,0.0003223419189453125,-1.2476864657994715,0.9575550331358839,,,0.44968905193598363,0.9136544107546876,0.5112316271826569,0.4428509880196866,0.4831160985978677,20
