task,region,noise,seed,dim,emb_dim,init_mae,init_in,init_out,const_mae,detect_dist,detect_dist_emb,arm,hp,mae,err_in,err_out,err_in_emb,ess
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,uniform,uniform,0.14134958145442328,0.23610347116426103,0.12665629852800608,0.2426675145522569,1.0
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,weakspot,"weakspot|alpha=0.5,q=0.03",0.15178003735613932,0.24982461111032184,0.1365764750962502,0.25364085796004554,0.2033902201589264
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,weakspot,"weakspot|alpha=0.5,q=0.1",0.14732105132830434,0.24361331637348757,0.13238921583039406,0.24653787349519696,0.4999716889477834
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,weakspot,"weakspot|alpha=0.5,q=0.3",0.14084785215750195,0.23132630187119577,0.12681755256285754,0.2380304227325712,0.8350767332071386
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,weakspot,"weakspot|alpha=1.0,q=0.03",0.24221564455349182,0.3499756026657714,0.22550553842981458,0.33530535042093745,0.06000013563736906
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,weakspot,"weakspot|alpha=1.0,q=0.1",0.18118844483250482,0.27833722554803975,0.16612379128233382,0.269090758285944,0.19998188154212448
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,weakspot,"weakspot|alpha=1.0,q=0.3",0.14883826275782946,0.24106324855270173,0.13453713155025038,0.2480145647969608,0.5586657778312331
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,weakspot_emb,"weakspot_emb|alpha=0.5,q=0.03",0.14880327840497723,0.24511698493270068,0.1338681180222491,0.24300411312487316,0.2033902201589265
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,weakspot_emb,"weakspot_emb|alpha=0.5,q=0.1",0.14707489204740246,0.2261007323605833,0.13482052408662332,0.23050549689667876,0.4999716889477834
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,weakspot_emb,"weakspot_emb|alpha=0.5,q=0.3",0.14568040374766209,0.227897245595611,0.1329312140068742,0.23829233079984724,0.8350767332071386
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,weakspot_emb,"weakspot_emb|alpha=1.0,q=0.03",0.47830302130716257,0.2893881653995112,0.5075976437797034,0.25457300509423775,0.06000013563736907
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,weakspot_emb,"weakspot_emb|alpha=1.0,q=0.1",0.1988853986244469,0.23299901635149062,0.1935954729185784,0.23380711438403037,0.19998188154212448
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,weakspot_emb,"weakspot_emb|alpha=1.0,q=0.3",0.14812810097020923,0.22696104727232735,0.13590364467097807,0.23693346953851652,0.558665777831233
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,random_emb,"random_emb|alpha=0.5,q=0.03",0.14496709408375505,0.2512009472653463,0.1284936377861765,0.2542374823003251,0.20339022015892644
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,random_emb,"random_emb|alpha=0.5,q=0.1",0.14164168614087336,0.24737358444976354,0.12524606691134005,0.24895956698887445,0.4999716889477834
synth10,hard,gauss,4006,10,62,0.1507531642065785,0.28855173048971156,0.12938503538935572,0.9411314255824265,0.07658369082729302,0.11835906437187976,random_emb,"random_emb|alpha=0.5,q=0.3",0.13811930374255016,0.24036127441771937,0.12226486012355917,0.24087579308299928,0.8350767332071386
