task,region,noise,seed,init_mae,init_in,init_out,p_gate,cx,cy,detect_dist,arm,hp,mae,err_in,err_out,ess
synthetic,hard,gauss,3000,0.1643976300525433,0.4077284812054536,0.1306651721785134,0.005,0.2342000565681154,0.7444774072830562,0.0167373009403545,weakspot,"weakspot|alpha=0.2,sigma=0.05",0.1387359572963039,0.311896328697138,0.1147310894135238,
synthetic,hard,gauss,3000,0.1643976300525433,0.4077284812054536,0.1306651721785134,0.005,0.2342000565681154,0.7444774072830562,0.0167373009403545,weakspot,"weakspot|alpha=0.2,sigma=0.1",0.143069818593954,0.2899722519132279,0.1227050349257256,
synthetic,hard,gauss,3000,0.1643976300525433,0.4077284812054536,0.1306651721785134,0.005,0.2342000565681154,0.7444774072830562,0.0167373009403545,weakspot,"weakspot|alpha=0.2,sigma=0.2",0.1246957072188485,0.3064453241538792,0.099500129807132,
synthetic,hard,gauss,3000,0.1643976300525433,0.4077284812054536,0.1306651721785134,0.005,0.2342000565681154,0.7444774072830562,0.0167373009403545,weakspot,"weakspot|alpha=0.5,sigma=0.05",0.1400614548939278,0.3135793889127374,0.1160070188372354,
synthetic,hard,gauss,3000,0.1643976300525433,0.4077284812054536,0.1306651721785134,0.005,0.2342000565681154,0.7444774072830562,0.0167373009403545,weakspot,"weakspot|alpha=0.5,sigma=0.1",0.1296356803718998,0.2527057384116391,0.1125747301113381,
synthetic,hard,gauss,3000,0.1643976300525433,0.4077284812054536,0.1306651721785134,0.005,0.2342000565681154,0.7444774072830562,0.0167373009403545,weakspot,"weakspot|alpha=0.5,sigma=0.2",0.1309265642653644,0.284016090573762,0.1097040765590765,
synthetic,hard,gauss,3000,0.1643976300525433,0.4077284812054536,0.1306651721785134,0.005,0.2342000565681154,0.7444774072830562,0.0167373009403545,weakspot,"weakspot|alpha=0.8,sigma=0.05",0.220070096199288,0.3113385252184569,0.2074177406819708,
synthetic,hard,gauss,3000,0.1643976300525433,0.4077284812054536,0.1306651721785134,0.005,0.2342000565681154,0.7444774072830562,0.0167373009403545,weakspot,"weakspot|alpha=0.8,sigma=0.1",0.1906423574522219,0.2458273204891741,0.1829921789725762,
synthetic,hard,gauss,3000,0.1643976300525433,0.4077284812054536,0.1306651721785134,0.005,0.2342000565681154,0.7444774072830562,0.0167373009403545,weakspot,"weakspot|alpha=0.8,sigma=0.2",0.1128538083476048,0.2555337820587106,0.0930743756128173,
synthetic,hard,gauss,3000,0.1643976300525433,0.4077284812054536,0.1306651721785134,0.005,0.2342000565681154,0.7444774072830562,0.0167373009403545,weakspot,"weakspot|alpha=1.0,sigma=0.05",3.973530623063144,0.3136844172615793,4.480887612025671,
