task,region,noise,arm,whole,p,inside,p_in,outside,gate_pass,detect_dist,uni_mae,init_mae,uni_in,init_in,ess,hp,n,family,p_holm,p_in_holm
synthetic,hard,hetero,jtt,-3.017066905048219,2.8338981969966426e-06,3.369724144135811,2.630606843467831e-11,-6.390940368774783,0.78,0.19753658715042646,0.13011343120858074,0.19694315724410555,0.35837981440131683,0.43088622575343977,0.9,"jtt|q=0.2,lam=2",50,signal,1.7003389181979855e-05,1.5783641060806985e-10
synthetic,hard,hetero,density,0.772070841451449,0.002356807144249018,-0.31868602037803223,0.174987615360088,1.342947826279044,0.78,0.19753658715042646,0.13011343120858074,0.19694315724410555,0.35837981440131683,0.43088622575343977,0.9619008772586125,density|alpha=0.8,50,signal,0.008196378897181944,0.174987615360088
synthetic,hard,hetero,smoothed_loss,-1.371592641387699,0.002049094724295486,1.6137032216642386,5.215646012857178e-07,-2.950170963628019,0.78,0.19753658715042646,0.13011343120858074,0.19694315724410555,0.35837981440131683,0.43088622575343977,0.9750522603653532,smoothed_loss|alpha=0.2,50,signal,0.008196378897181944,1.9522077110423197e-06
synthetic,hard,hetero,random_centre,-0.20932588367150798,0.4723763440876976,-0.11847594470576668,0.7521534307154649,-0.2510940528512678,0.78,0.19753658715042646,0.13011343120858074,0.19694315724410555,0.35837981440131683,0.43088622575343977,0.9109833271910078,"random_centre|alpha=0.2,sigma=0.2",50,control,0.4723763440876976,0.7521534307154649
synthetic,hard,hetero,oracle,-1.2392883680506073,0.01330480151673541,4.14578776873504,1.1368683772161603e-12,-4.09007486413814,0.78,0.19753658715042646,0.13011343120858074,0.19694315724410555,0.35837981440131683,0.43088622575343977,0.931328632166763,"oracle|alpha=0.2,sigma=0.2",50,control,0.02660960303347082,2.2737367544323206e-12
synthetic,hard,outlier,weakspot,0.1257555487287192,0.8858855663449852,1.449226876480017,0.00015581408102782746,-0.3797337135401449,0.06,0.22623422930715353,0.19463186851773123,0.27516506162897764,0.4303826616626616,0.4778453878297739,0.9205071202528546,"weakspot|alpha=0.2,sigma=0.2",50,signal,1.0,0.0007790704051391373
synthetic,hard,outlier,gated,-0.05068328665329607,1.0,0.147356535650251,1.0,-0.12871070443689872,0.06,0.22623422930715353,0.19463186851773123,0.27516506162897764,0.4303826616626616,0.4778453878297739,0.9205071202528546,"weakspot|alpha=0.2,sigma=0.2",50,signal,1.0,1.0
synthetic,hard,outlier,loss,-33.74394924026267,1.7763568394002505e-15,-7.705901660142561,1.7763568394002505e-15,-43.75577458515277,0.06,0.22623422930715353,0.19463186851773123,0.27516506162897764,0.4303826616626616,0.4778453878297739,0.9237499814525433,loss|alpha=0.2,50,signal,1.0658141036401503e-14,1.0658141036401503e-14
synthetic,hard,outlier,jtt,-13.016984249539295,1.7763568394002505e-15,-1.3819349474890306,0.001715436079566146,-17.490105901898684,0.06,0.22623422930715353,0.19463186851773123,0.27516506162897764,0.4303826616626616,0.4778453878297739,0.9,"jtt|q=0.2,lam=2",50,signal,1.0658141036401503e-14,0.006861744318264584
synthetic,hard,outlier,density,0.6352235052787177,0.15714035289247086,0.1969402646772541,0.7160933233749613,0.7998734688820914,0.06,0.22623422930715353,0.19463186851773123,0.27516506162897764,0.4303826616626616,0.4778453878297739,0.9619008772586125,density|alpha=0.8,50,signal,0.4714210586774126,1.0
synthetic,hard,outlier,smoothed_loss,-1.9391159424345248,2.434094703573919e-08,0.15437872041412948,0.6390094850461736,-2.7467554347747125,0.06,0.22623422930715353,0.19463186851773123,0.27516506162897764,0.4303826616626616,0.4778453878297739,0.9804249057605174,smoothed_loss|alpha=0.2,50,signal,9.736378814295676e-08,1.0
synthetic,hard,outlier,random_centre,0.1906683702083905,0.8407540567937097,0.14350499788938914,0.3673427625704484,0.2106023747467195,0.06,0.22623422930715353,0.19463186851773123,0.27516506162897764,0.4303826616626616,0.4778453878297739,0.9109833271910078,"random_centre|alpha=0.2,sigma=0.2",50,control,0.8407540567937097,0.3673427625704484
synthetic,hard,outlier,oracle,-1.2507421624280668,0.0005734773907004609,2.4737952675359396,2.4868995751603507e-14,-2.687491570925043,0.06,0.22623422930715353,0.19463186851773123,0.27516506162897764,0.4303826616626616,0.4778453878297739,0.931328632166763,"oracle|alpha=0.2,sigma=0.2",50,control,0.0011469547814009218,4.973799150320701e-14
synthetic,hole,gauss,weakspot,0.5662852373557359,0.6253677971440439,1.3464229161357537,0.10953049393459402,-0.22371992100860685,0.96,0.6052483754109631,0.10195538826251534,0.15018914142798317,0.4031054223654424,0.38876916931968913,0.9073039715038065,"weakspot|alpha=0.2,sigma=0.2",50,signal,0.9715153504482146,0.3211284025077248
synthetic,hole,gauss,gated,0.6264889057231989,0.4857576752241073,1.4102125617659194,0.0802821006269312,-0.16661425133246174,0.96,0.6052483754109631,0.10195538826251534,0.15018914142798317,0.4031054223654424,0.38876916931968913,0.9073039715038065,"weakspot|alpha=0.2,sigma=0.2",50,signal,0.9715153504482146,0.3211284025077248
synthetic,hole,gauss,loss,1.6696157433398569,0.00043263448054275955,1.486887002102269,0.0932040847757225,1.8559440490370582,0.96,0.6052483754109631,0.10195538826251534,0.15018914142798317,0.4031054223654424,0.38876916931968913,0.9603267757895749,loss|alpha=0.2,50,signal,0.0021631724027137977,0.3211284025077248
synthetic,hole,gauss,jtt,1.9332350652636376,0.0002211422351869885,2.238135102314448,0.01958777690517799,1.6545655136020792,0.96,0.6052483754109631,0.10195538826251534,0.15018914142798317,0.4031054223654424,0.38876916931968913,0.9,"jtt|q=0.2,lam=2",50,signal,0.001326853411121931,0.09793888452588995
synthetic,hole,gauss,density,0.36524937522238876,0.24513084584396871,0.5527497491846183,0.3673427625704484,0.19521015891125437,0.96,0.6052483754109631,0.10195538826251534,0.15018914142798317,0.4031054223654424,0.38876916931968913,0.9585309898205822,density|alpha=0.8,50,signal,0.7353925375319061,0.3673427625704484
synthetic,hole,gauss,smoothed_loss,1.6198933294116968,0.0005294876867694143,1.903182047459426,0.00939211543820484,1.3808415710913091,0.96,0.6052483754109631,0.10195538826251534,0.15018914142798317,0.4031054223654424,0.38876916931968913,0.9796325761795925,smoothed_loss|alpha=0.2,50,signal,0.0021631724027137977,0.05635269262922904
synthetic,hole,gauss,random_centre,0.03495918769452864,0.16001685587048975,0.03126745480029287,0.5024899674262855,0.0369875153755421,0.96,0.6052483754109631,0.10195538826251534,0.15018914142798317,0.4031054223654424,0.38876916931968913,0.9093391281747959,"random_centre|alpha=0.2,sigma=0.2",50,control,0.3200337117409795,0.7977094057060654
synthetic,hole,gauss,oracle,-0.4274215022542162,0.4723763440876976,-0.9501375583194475,0.3988547028530327,0.09433149803273944,0.96,0.6052483754109631,0.10195538826251534,0.15018914142798317,0.4031054223654424,0.38876916931968913,0.9238324015407027,"oracle|alpha=0.2,sigma=0.2",50,control,0.4723763440876976,0.7977094057060654
synthetic,hole,hetero,weakspot,-1.3604110339901117,0.013686934524772099,1.1778508105176269,0.42072286282100535,-3.0405171795768617,0.36,0.6849204666991036,0.12343480492109711,0.18252135919691448,0.39138346237703936,0.40371580756456155,0.9291490864192258,"weakspot|alpha=0.2,sigma=0.2",50,signal,0.06843467262386049,0.42072286282100535
synthetic,hole,hetero,gated,0.891932180102896,0.12973785400390625,2.0483019412275243,0.0047454833984375,0.12051499563300434,0.36,0.6849204666991036,0.12343480492109711,0.18252135919691448,0.39138346237703936,0.40371580756456155,0.9291490864192258,"weakspot|alpha=0.2,sigma=0.2",50,signal,0.38921356201171875,0.0237274169921875
synthetic,hole,hetero,loss,-1.8952683704307038,0.0034275276816781997,3.117272069750696,0.007380741603101981,-5.173958441553289,0.36,0.6849204666991036,0.12343480492109711,0.18252135919691448,0.39138346237703936,0.40371580756456155,0.9442898647654591,loss|alpha=0.2,50,signal,0.020565166090069198,0.029522966412407925
