task,region,noise,seed,init_mae,init_in,init_out,p_gate,cx,cy,detect_dist,arm,hp,mae,err_in,err_out,ess
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,jtt,"jtt|q=0.2,lam=2",0.10124687679545852,0.33728674514091167,0.06944008602550386,0.8999999999999998
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,density,density|alpha=0.8,0.09810012109480001,0.35978675096902385,0.06283738373586206,0.9607962508008889
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,smoothed_loss,smoothed_loss|alpha=0.2,0.1039461088966462,0.34177433794951173,0.07189833335051538,0.953925207224538
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,random_centre,"random_centre|alpha=0.2,sigma=0.2",0.10235739378550243,0.3518323495520142,0.06874020116448311,0.8945198742890277
synthetic,hard,gauss,4002,0.14512957303362667,0.4154665432232944,0.10870118697969981,0.03,0.2647838764575429,0.7215736768905876,0.03204089338068783,oracle,"oracle|alpha=0.2,sigma=0.2",0.10381061987197865,0.34039292765302787,0.07193073442630533,0.929719804231527
synthetic,hard,gauss,4003,0.25293928856073195,0.4749024254954432,0.21955225358320712,0.03,0.2670136485632561,0.7175205670266076,0.03666575791807768,uniform,uniform,0.12065560203795128,0.37503802854269686,0.08239215393269331,1.0
synthetic,hard,gauss,4003,0.25293928856073195,0.4749024254954432,0.21955225358320712,0.03,0.2670136485632561,0.7175205670266076,0.03666575791807768,weakspot,"weakspot|alpha=0.2,sigma=0.2",0.12358494852420016,0.36372376618602276,0.0874639817030517,0.9343794525007864
synthetic,hard,gauss,4003,0.25293928856073195,0.4749024254954432,0.21955225358320712,0.03,0.2670136485632561,0.7175205670266076,0.03666575791807768,loss,loss|alpha=0.2,0.12014635980677965,0.36877959213030453,0.0827476883931462,0.9553972867997432
synthetic,hard,gauss,4003,0.25293928856073195,0.4749024254954432,0.21955225358320712,0.03,0.2670136485632561,0.7175205670266076,0.03666575791807768,jtt,"jtt|q=0.2,lam=2",0.11567939979450927,0.3610971224191232,0.07876439578741319,0.8999999999999998
synthetic,hard,gauss,4003,0.25293928856073195,0.4749024254954432,0.21955225358320712,0.03,0.2670136485632561,0.7175205670266076,0.03666575791807768,density,density|alpha=0.8,0.12497334240676063,0.3706737255697684,0.08801582144206316,0.9522421221130954
synthetic,hard,gauss,4003,0.25293928856073195,0.4749024254954432,0.21955225358320712,0.03,0.2670136485632561,0.7175205670266076,0.03666575791807768,smoothed_loss,smoothed_loss|alpha=0.2,0.1217743853317504,0.371569093117579,0.0842010082331055,0.9738609142277039
synthetic,hard,gauss,4003,0.25293928856073195,0.4749024254954432,0.21955225358320712,0.03,0.2670136485632561,0.7175205670266076,0.03666575791807768,random_centre,"random_centre|alpha=0.2,sigma=0.2",0.11939246058313865,0.3784462460994069,0.08042636054718574,0.901234876972028
synthetic,hard,gauss,4003,0.25293928856073195,0.4749024254954432,0.21955225358320712,0.03,0.2670136485632561,0.7175205670266076,0.03666575791807768,oracle,"oracle|alpha=0.2,sigma=0.2",0.12182845986442754,0.3648939102918623,0.0852672776459782,0.9271498775338934
